---------This is the output of algorithm DBA--------



---------------------------------------------------------------------------------------------------
FromNode       ToNode         Flow           Time           Cost           
10             1              387.9          2.00001        0              
394            1              1522.5         1.00095        0              
11             2              1196.2         2.00072        0              
395            2              1149.3         1.00031        0              
12             3              247.4          2              0              
395            3              375.1          1              0              
13             4              1111.9         2.00054        0              
396            4              1294.8         1.0005         0              
15             5              948            2.00028        0              
396            5              1347           1.00058        0              
7              6              37             2              0              
409            6              722.1          1.00005        0              
6              7              722.1          2.0001         0              
8              7              1044.2         0.220122       0              
21             7              17             2              0              
7              8              368.3          0.220076       0              
9              8              2037.9         0.501521       0              
249            8              1763.18        0.569048       0              
8              9              2088.68        0.501679       0              
10             9              3438.81        1.10656        0              
205            9              1760.5         0.56863        0              
1              10             1522.5         2.0019         0              
9              10             3215.68        1.10029        0              
27             10             2297.68        2.59261        0              
364            10             0              1.05985        0              
379            10             3407.2         0.149188       0              
2              11             1149.3         2.00062        0              
12             11             1829.8         2.00396        0              
28             11             1721.7         2.0031         0              
364            11             0              1.07992        0              
379            11             5739.86        0.150031       0              
3              12             375.1          2.00001        0              
11             12             3878.86        2.07987        0              
13             12             1969.2         2.00531        0              
29             12             108            2              0              
4              13             1294.8         2.00099        0              
12             13             4178.86        2.10759        0              
14             13             918.2          1.00013        0              
30             13             265.8          2              0              
13             14             3332.76        1.02176        0              
15             14             918.2          1.00013        0              
31             14             0              2              0              
5              15             1347           2.00116        0              
14             15             3332.76        1.02176        0              
32             15             1845.4         2.00409        0              
365            15             0              1              0              
380            15             1843.5         0.149079       0              
17             16             1672.5         0.140345       0              
33             16             134.1          2              0              
365            16             0              1              0              
380            16             6222.16        0.150398       0              
16             17             6222.16        0.177209       0              
18             17             868.9          0.50005        0              
297            17             3248.64        1.29575        0              
17             18             7125.7         0.727403       0              
19             18             503.6          0.579931       0              
253            18             798.6          0.502906       0              
18             19             6087.1         0.720377       0              
20             19             503.6          2.00002        0              
19             20             6087.1         2.48438        0              
397            20             503.6          1.00001        0              
7              21             1378           2.00127        0              
23             21             1779.8         0.580951       0              
23             22             497.1          2.00002        0              
408            22             817.418        1.00008        0              
21             23             318            0.579925       0              
22             23             817.418        2.00016        0              
24             23             3587.91        0.144249       0              
366            23             0              1              0              
381            23             4121.21        0.149324       0              
23             24             3116.73        0.142484       0              
25             24             4234.31        0.443897       0              
245            24             0              0.5            0              
24             25             1377           0.420342       0              
26             25             1338.69        0.420314       0              
199            25             431.6          0.500248       0              
208            25             2464.02        0.763358       0              
25             26             1377           0.420342       0              
27             26             572.387        0.720089       0              
166            26             1891           0.591356       0              
10             27             572.387        2.57997        0              
26             27             2435.58        0.724546       0              
28             27             0              2              0              
42             27             0              2              0              
11             28             1464.6         2.00162        0              
27             28             137.9          2              0              
29             28             608.7          2.00005        0              
367            28             0              1              0              
382            28             1703.7         0.149076       0              
12             29             75.1           2              0              
28             29             641.4          2.00006        0              
30             29             716.7          2.00009        0              
45             29             0              2              0              
13             30             243.8          2              0              
29             30             716.5          2.00009        0              
31             30             650.1          1.00003        0              
46             30             144            2              0              
14             31             0              2              0              
30             31             594.7          1.00002        0              
32             31             650.1          1.00003        0              
47             31             0              2              0              
15             32             352.2          2.00001        0              
31             32             594.7          1.00002        0              
33             32             43.1           2              0              
368            32             0              1              0              
383            32             2360.1         0.149096       0              
16             33             0              2              0              
32             33             185            2              0              
34             33             177.2          0.420076       0              
50             33             0              2.27992        0              
33             34             185            0.420076       0              
35             34             177.2          0.579924       0              
34             35             185            0.579924       0              
36             35             314.5          0.500001       0              
294            35             0              0.5            0              
35             36             185            0.5            0              
37             36             314.5          2              0              
256            36             253.7          0.50003        0              
36             37             438.7          2.00001        0              
398            37             314.5          1              0              
39             38             335.7          2              0              
408            38             1420.08        1.00072        0              
38             39             1420.08        2.00143        0              
40             39             185.4          0.5            0              
56             39             4441.71        2.13732        0              
366            39             0              1              0              
381            39             3602.11        0.149218       0              
39             40             0              0.5            0              
41             40             185.4          0.5            0              
242            40             228.3          0.500019       0              
40             41             228.3          0.5            0              
42             41             698.8          0.720106       0              
212            41             0              0.5            0              
27             42             0              2              0              
41             42             228.3          0.720076       0              
43             42             1026.5         0.580038       0              
54             42             0              0.279924       0              
42             43             228.3          0.579925       0              
44             43             1026.5         1.42035        0              
169            43             234.4          0.500022       0              
43             44             462.7          1.42009        0              
45             44             389.3          2.00001        0              
60             44             1593.3         2.00227        0              
367            44             0              1              0              
382            44             2580.8         0.149108       0              
29             45             0              2              0              
44             45             162            2              0              
46             45             389.3          2.00001        0              
61             45             0              2              0              
30             46             177.2          2              0              
45             46             162            2              0              
47             46             1048.64        1.00021        0              
62             46             491.497        2.00002        0              
31             47             0              2              0              
46             47             509.497        1.00001        0              
48             47             2070.8         1.00324        0              
63             47             550.18         2.00003        0              
47             48             1059.68        1.00022        0              
49             48             133.2          1.42008        0              
64             48             921.824        2.00025        0              
368            48             0              1              0              
383            48             3945.1         0.149283       0              
48             49             214.9          1.42008        0              
50             49             133.2          0.720076       0              
33             50             0              2.27992        0              
49             50             214.9          0.720076       0              
51             50             133.2          0.859849       0              
66             50             0              2              0              
50             51             214.9          0.859849       0              
52             51             61.8           0.5            0              
292            51             865.3          0.504005       0              
51             52             1008.8         0.500091       0              
53             52             723.5          2.0001         0              
258            52             0              0.5            0              
52             53             863.5          2.0002         0              
398            53             723.5          1.00005        0              
42             54             0              0.279924       0              
59             54             0              1.72008        0              
197            54             0              0.5            0              
56             55             357.2          2.00001        0              
407            55             44.2           1              0              
39             56             5009.29        2.22215        0              
55             56             44.2           2              0              
57             56             1946.07        0.501265       0              
369            56             0              1              0              
384            56             6492.55        0.150645       0              
56             57             2062.44        0.501596       0              
58             57             1946.07        0.501265       0              
240            57             0              0.5            0              
57             58             0              0.5            0              
59             58             0              0.720076       0              
214            58             1946.07        0.602473       0              
54             59             0              1.72008        0              
58             59             0              0.720076       0              
60             59             0              2              0              
84             59             0              2.07992        0              
44             60             1943.6         2.00503        0              
59             60             0              2              0              
61             60             0              2              0              
70             60             1593.3         0.280242       0              
45             61             0              2              0              
60             61             0              2              0              
62             61             0              2              0              
73             61             0              2              0              
46             62             836.537        2.00017        0              
61             62             0              2              0              
63             62             182.69         1              0              
74             62             656.368        2.00007        0              
47             63             1022.16        2.00039        0              
62             63             164.871        1              0              
64             63             165.603        1              0              
75             63             393.632        2.00001        0              
48             64             1790.8         2.00363        0              
63             64             8.32355        1              0              
65             64             0              1.42008        0              
76             64             913.5          2.00025        0              
64             65             0              1.42008        0              
66             65             0              0.720076       0              
50             66             0              2              0              
65             66             0              0.720076       0              
67             66             0              0.859848       0              
77             66             0              1.72008        0              
66             67             0              0.859848       0              
68             67             650.5          0.500016       0              
290            67             0              0.5            0              
67             68             0              0.5            0              
69             68             650.5          2.00006        0              
260            68             457.6          0.500313       0              
68             69             457.6          2.00002        0              
399            69             650.5          1.00003        0              
60             70             1943.6         0.280629       0              
71             70             1593.3         1.08115        0              
171            70             0              0.5            0              
70             71             135.6          1.07992        0              
72             71             302.7          0.640152       0              
194            71             1406.3         0.527944       0              
71             72             135.6          0.640152       0              
85             72             302.7          0.720077       0              
61             73             0              2              0              
74             73             0              2              0              
78             73             0              0.420076       0              
62             74             1019.23        2.00038        0              
73             74             0              2              0              
75             74             609.263        1.00002        0              
88             74             1418.3         1.00071        0              
63             75             1005.07        2.00036        0              
74             75             761.937        1.00006        0              
76             75             1133.92        1.00029        0              
89             75             967.482        1.00015        0              
64             76             1625.2         2.00246        0              
75             76             1335.79        1.00056        0              
90             76             1397.71        1.00067        0              
372            76             0              1              0              
387            76             2958.86        0.149136       0              
66             77             0              1.72008        0              
92             77             1718.2         0.360402       0              
372            77             0              1              0              
387            77             2708.64        0.149116       0              
73             78             0              0.420076       0              
87             78             0              0.640152       0              
173            78             1771.12        0.570301       0              
80             79             802.2          2.00015        0              
407            79             105.1          1              0              
79             80             105.1          2              0              
81             80             1169.4         0.500165       0              
369            80             0              1              0              
373            80             0              3              0              
384            80             7466.26        0.151825       0              
388            80             8024.85        0.152747       0              
80             81             1745.68        0.500819       0              
82             81             1254.9         0.500219       0              
238            81             0              0.5            0              
81             82             1745.68        0.500819       0              
83             82             1496.4         0.280172       0              
216            82             169            0.500006       0              
82             83             1914.68        0.280588       0              
84             83             1496.4         0.420447       0              
96             83             0              0.279924       0              
59             84             0              2.07992        0              
83             84             1914.68        0.421072       0              
96             84             0              0.720076       0              
370            84             0              0.940152       0              
385            84             1496.4         0.149073       0              
72             85             135.6          0.720076       0              
86             85             1294.6         1.92103        0              
97             85             254.1          0.720076       0              
370            85             0              0.920076       0              
385            85             2765.48        0.14912        0              
85             86             2146.58        1.92727        0              
87             86             1294.6         0.420284       0              
78             87             1771.12        0.641263       0              
86             87             2146.58        0.421649       0              
98             87             657.1          0.859877       0              
192            87             997.7          0.507079       0              
371            87             0              1              0              
386            87             3639           0.149224       0              
74             88             1628.49        1.00124        0              
89             88             1141.41        1.0003         0              
100            88             76.5           1.07992        0              
371            88             0              1              0              
386            88             3777.4         0.149249       0              
75             89             1529.73        1.00097        0              
88             89             1368.3         1.00062        0              
90             89             968.741        1.00016        0              
