---------This is the output of algorithm T2--------



---------------------------------------------------------------------------------------------------
FromNode       ToNode         Flow           Time           Cost           
1              2              8.08604        0.0600855      0              
1              3              10.7524        0.0402673      0              
2              1              7.31788        0.0600574      0              
2              6              7.7449         0.0946514      0              
3              1              11.5205        0.0403523      0              
3              4              18.5343        0.0482605      0              
3              12             18.9639        0.0425867      0              
4              3              21.4071        0.0547004      0              
4              5              19.1979        0.0240751      0              
4              11             10.5712        0.253563       0              
5              4              22.9676        0.028348       0              
5              6              9.5365         0.122792       0              
5              9              13.9529        0.0784261      0.15           
6              2              6.97674        0.0794023      0              
6              5              8.67326        0.0966452      0              
6              8              16.574         0.413136       0              
7              8              15.7496        0.103219       0              
7              18             17.05          0.0208451      0              
8              6              14.9426        0.27974        0              
8              7              17.1975        0.13409        0              
8              9              10.8457        0.419074       0              
8              16             6.1279         0.0663148      0.15           
9              5              18.5858        0.139492       0              
9              8              4.48702        0.109347       0.15           
9              10             23.5703        0.0670377      0              
10             9              21.9446        0.0578284      0.1            
10             11             13.0173        0.0715348      0.1            
10             15             15.5765        0.0758944      0.15           
10             16             11.8158        0.250514       0.1            
10             17             12.1631        0.502404       0              
11             4              9.77428        0.201471       0              
11             10             12.7015        0.0695204      0.1            
11             12             3.24391        0.0617163      0.15           
11             14             12.9171        0.335375       0              
12             3              16.8593        0.0416158      0              
12             11             3.46139        0.062225       0.15           
12             13             17.1304        0.0308611      0              
13             12             15.3433        0.0305542      0              
13             24             13.8506        0.368642       0              
14             11             11.687         0.237936       0              
14             15             11.0686        0.212856       0              
14             23             11.2791        0.205084       0              
15             10             18.9115        0.0945355      0.1            
15             14             11.8224        0.261962       0              
15             19             22.9638        0.0578082      0              
15             22             11.121         0.0381068      0.15           
16             8              12.3031        0.315087       0              
16             10             8.737          0.102932       0.1            
16             17             12.777         0.12687        0              
16             18             8.50533        0.030157       0.15           
17             10             10.4969        0.314314       0              
17             16             15.3747        0.244063       0              
17             19             14.9954        0.300117       0              
18             7              15.6021        0.0205926      0              
18             16             9.00394        0.0301972      0.15           
18             20             20.1194        0.0432771      0              
19             15             20.1734        0.0465621      0              
19             17             15.9269        0.376482       0              
19             20             13.1897        0.329938       0              
20             18             19.0701        0.0426451      0              
20             19             11.3309        0.197912       0              
20             21             10.7854        0.245788       0              
20             22             5.11288        0.0577222      0.1            
21             20             2.53204        0.0605644      0.15           
21             22             14.1857        0.182388       0              
21             24             8.501          0.0712577      0              
22             15             17.9002        0.0844134      0              
22             20             10.3581        0.180077       0              
22             21             3.39061        0.02053        0.15           
22             23             10.85          0.173042       0              
23             14             9.29521        0.116144       0              
23             22             12.0793        0.244378       0              
23             24             11.7312        0.105418       0              
24             13             11.9635        0.222927       0              
24             21             11.0428        0.147473       0              
24             23             10.9766        0.0854703      0              
