---------This is the output of algorithm T2--------



---------------------------------------------------------------------------------------------------
FromNode       ToNode         Flow           Time           Cost           
1              2              4.77856        0.0600104      0              
1              3              8.09369        0.0400858      0              
2              1              4.82806        0.0600109      0              
2              6              6.11522        0.0673549      0              
3              1              8.04419        0.0400837      0              
3              4              15.35          0.0438863      0              
3              12             11.6561        0.0403692      0              
4              3              15.4849        0.0440247      0              
4              5              18.6255        0.0236104      0              
4              11             7.0189         0.0976189      0              
5              4              18.7967        0.023745       0              
5              6              8.7969         0.0999447      0              
5              9              15.72          0.0958009      0.01           
6              2              6.16472        0.0679237      0              
6              5              8.80619        0.100198       0              
6              8              13.0522        0.171209       0              
7              8              13.1204        0.0652645      0              
7              18             15.2189        0.0205365      0              
8              6              13.111         0.173952       0              
8              7              12.7206        0.0611584      0              
8              9              7.59272        0.176639       0              
8              16             8.19064        0.102072       0.01           
9              5              15.882         0.0977177      0              
9              8              6.64894        0.145068       0.01           
9              10             22.0287        0.0582576      0              
10             9              21.3469        0.0549182      0.01           
10             11             16.8336        0.110224       0.01           
10             15             21.7921        0.120892       0.01           
10             16             11.0925        0.203511       0.01           
10             17             9.41399        0.231584       0              
11             4              7.08259        0.0990031      0              
11             10             16.6687        0.107898       0.01           
11             12             7.85235        0.118929       0.01           
11             14             10.0964        0.150249       0              
12             3              11.4717        0.0403464      0              
12             11             7.90346        0.120478       0.01           
12             13             13.4809        0.0303303      0              
13             12             13.4476        0.030327       0              
13             24             11.2709        0.184105       0              
14             11             10.044         0.14798        0              
14             15             9.35559        0.133122       0              
14             23             8.4393         0.09174        0              
15             10             21.9554        0.122738       0.01           
15             14             9.53225        0.13958        0              
15             19             19.9874        0.0459599      0              
15             22             16.998         0.074245       0.01           
16             8              8.79338        0.119176       0              
16             10             10.8526        0.189816       0.01           
16             17             11.6002        0.0926123      0              
16             18             14.0762        0.0311778      0.01           
17             10             8.87373        0.199669       0              
17             16             12.2182        0.109367       0              
17             19             11.1777        0.106481       0              
18             7              15.6188        0.0205951      0              
18             16             13.821         0.0310947      0.01           
18             20             19.8747        0.0431205      0              
19             15             19.3541        0.0440311      0              
19             17             11.2554        0.108911       0              
19             20             9.89404        0.131804       0              
20             18             19.9193        0.0431487      0              
20             19             9.33842        0.112855       0              
20             21             7.61925        0.106272       0              
20             22             6.39868        0.0689425      0.01           
21             20             5.53979        0.0729314      0.01           
21             22             10.0706        0.0612446      0              
21             24             10.0657        0.111097       0              
22             15             17.8713        0.0840626      0              
22             20             7.86715        0.0932861      0              
22             21             7.87898        0.0354534      0.01           
22             23             9.83328        0.129756       0              
23             14             8.21031        0.0863487      0              
23             22             9.98342        0.135365       0              
23             24             8.3187         0.0415972      0              
24             13             11.1376        0.177407       0              
24             21             10.1779        0.114773       0              
24             23             8.23984        0.0407899      0              
