---------This is the output of algorithm DBA--------



---------------------------------------------------------------------------------------------------
FromNode       ToNode         Flow           Time           Cost           
1              10             1522.5         2.0019         0              
1              394            387.9          1              0              
2              11             1149.3         2.00062        0              
2              395            1196.2         1.00036        0              
3              12             375.1          2.00001        0              
3              395            247.4          1              0              
4              13             1294.8         2.00099        0              
4              396            1111.9         1.00027        0              
5              15             1347           2.00116        0              
5              396            948            1.00014        0              
6              7              722.1          2.0001         0              
6              409            37             1              0              
7              21             1328.2         2.0011         0              
7              8              418.1          0.220077       0              
7              6              37             2              0              
8              9              2164.21        0.501935       0              
8              7              1044.2         0.220122       0              
8              250            1036.5         0.508246       0              
9              10             3241.41        1.10095        0              
9              8              2037.9         0.501521       0              
9              206            2034.65        0.622441       0              
10             27             606.452        2.57999        0              
10             1              387.9          2.00001        0              
10             364            0              1.05985        0              
10             9              3389.25        1.10506        0              
10             379            6009.01        0.150225       0              
11             28             1472.5         2.00166        0              
11             2              1196.2         2.00072        0              
11             12             3856.11        2.07801        0              
11             364            0              1.07992        0              
11             379            3893.4         0.149272       0              
12             29             75.1           2              0              
12             3              247.4          2              0              
12             13             4156.11        2.10527        0              
12             11             1822.2         2.00389        0              
13             30             243.8          2              0              
13             4              1111.9         2.00054        0              
13             14             3310.01        1.02118        0              
13             12             1961.6         2.00522        0              
14             31             0              2              0              
14             15             3310.01        1.02118        0              
14             13             910.6          1.00012        0              
15             32             359.8          2.00001        0              
15             5              948            2.00028        0              
15             365            0              1              0              
15             14             910.6          1.00012        0              
15             380            6124.41        0.150316       0              
16             33             0              2              0              
16             17             6208.51        0.176885       0              
16             365            0              1              0              
16             380            1818.8         0.149078       0              
17             18             7125.7         0.727403       0              
17             16             1684.7         0.140351       0              
17             298            1541.5         0.540341       0              
18             19             6087.1         0.720377       0              
18             17             868.9          0.50005        0              
18             254            1471.9         0.533534       0              
19             20             6087.1         2.48438        0              
19             18             503.6          0.579931       0              
20             19             503.6          2.00002        0              
20             397            6087.1         1.24219        0              
21             23             268.2          0.579925       0              
21             7              17             2              0              
21             202            2809.16        0.944914       0              
22             23             811.422        2.00015        0              
22             408            497.1          1.00001        0              
23             366            0              1              0              
23             21             1766.16        0.58092        0              
23             24             3038.54        0.142259       0              
23             22             497.1          2.00002        0              
23             381            3439.54        0.149192       0              
24             25             1321.03        0.420301       0              
24             23             3626.34        0.144427       0              
24             247            2363.91        0.723099       0              
25             26             1321.03        0.420301       0              
25             24             4272.74        0.444774       0              
25             210            0              0.5            0              
26             27             2385.6         0.72419        0              
26             25             1372.75        0.420339       0              
26             168            60.1222        0.5            0              
27             42             0              2              0              
27             10             2247.7         2.59154        0              
27             28             137.9          2              0              
27             26             606.452        0.720093       0              
28             367            0              1              0              
28             11             1723.2         2.00311        0              
28             29             641.4          2.00006        0              
28             27             0              2              0              
28             382            1559.7         0.149074       0              
29             45             0              2              0              
29             12             108            2              0              
29             30             716.5          2.00009        0              
29             28             608.7          2.00005        0              
30             46             177.2          2              0              
30             13             265.8          2              0              
30             31             594.7          1.00002        0              
30             29             716.7          2.00009        0              
31             47             0              2              0              
31             14             0              2              0              
31             32             594.7          1.00002        0              
31             30             650.1          1.00003        0              
32             368            0              1              0              
32             15             1842.3         2.00406        0              
32             33             185            2              0              
32             31             650.1          1.00003        0              
32             383            677.2          0.149069       0              
33             50             0              2.27992        0              
33             16             134.1          2              0              
33             34             185            0.420076       0              
33             32             43.1           2              0              
34             35             185            0.579924       0              
34             33             177.2          0.420076       0              
35             36             185            0.5            0              
35             34             177.2          0.579924       0              
35             295            137.3          0.500003       0              
36             37             438.7          2.00001        0              
36             35             314.5          0.500001       0              
36             257            0              0.5            0              
37             36             314.5          2              0              
37             398            438.7          1.00001        0              
38             39             1426.08        2.00146        0              
38             408            335.7          1              0              
39             56             5003.92        2.2212         0              
39             366            0              1              0              
39             40             1.42109e-014   0.5            0              
39             38             335.7          2              0              
39             381            4218.48        0.149349       0              
40             41             254.39         0.5            0              
40             39             185.4          0.5            0              
40             243            0              0.5            0              
41             42             254.39         0.720076       0              
41             40             185.4          0.5            0              
41             213            513.4          0.500496       0              
42             54             0              0.279924       0              
42             27             0              2              0              
42             43             254.39         0.579925       0              
42             41             698.8          0.720106       0              
42             198            327.7          0.500082       0              
43             44             488.79         1.42009        0              
43             42             1026.5         0.580038       0              
43             170            0              0.5            0              
44             60             1951.5         2.00512        0              
44             367            0              1              0              
44             45             188.09         2              0              
44             43             1026.5         1.42035        0              
44             382            1895.5         0.14908        0              
45             61             0              2              0              
45             29             0              2              0              
45             46             188.09         2              0              
45             44             389.3          2.00001        0              
46             62             838.23         2.00017        0              
46             30             144            2              0              
46             47             517.992        1.00001        0              
46             45             389.3          2.00001        0              
47             63             1024.49        2.00039        0              
47             31             0              2              0              
47             48             1059.04        1.00022        0              
47             46             1050.33        1.00021        0              
48             64             1794.38        2.00366        0              
48             368            0              1              0              
48             49             214.9          1.42008        0              
48             47             2074.82        1.00327        0              
48             383            1980.2         0.149082       0              
49             50             214.9          0.720076       0              
49             48             133.2          1.42008        0              
50             66             0              2              0              
50             33             0              2.27992        0              
50             51             214.9          0.859849       0              
50             49             133.2          0.720076       0              
51             52             1008.8         0.500091       0              
51             50             133.2          0.859849       0              
51             293            0              0.5            0              
52             53             863.5          2.0002         0              
52             51             61.8           0.5            0              
52             259            807            0.50303        0              
53             52             723.5          2.0001         0              
53             398            863.5          1.0001         0              
54             59             0              1.72008        0              
54             42             0              0.279924       0              
55             56             44.2           2              0              
