---------This is the output of algorithm DBA--------



---------------------------------------------------------------------------------------------------
FromNode       ToNode         Flow           Time           Cost           
1              2              4.4945         0.0600082      0              
1              3              8.11893        0.0400869      0              
2              1              4.51893        0.0600083      0              
2              6              5.96729        0.0657356      0              
3              1              8.0945         0.0400859      0              
3              4              14.0061        0.0426938      0              
3              12             10.022         0.0402018      0              
4              3              14.0303        0.0427125      0              
4              5              18.0061        0.0231535      0              
4              11             5.2            0.071333       0              
5              4              18.0303        0.0231705      0              
5              6              8.79828        0.0999822      0              
5              9              15.7806        0.0965109      0              
6              2              5.99172        0.0659948      0              
6              5              8.80651        0.100207       0              
6              8              12.4928        0.146903       0              
7              8              12.1021        0.0555267      0              
7              18             15.5985        0.020592       0              
8              6              12.5254        0.148236       0              
8              7              12.0415        0.055019       0              
8              9              6.88253        0.151743       0              
8              16             8.38784        0.107271       0              
9              5              15.7966        0.0966994      0              
9              8              6.83656        0.150375       0              
9              10             21.744         0.0568251      0              
10             9              21.814         0.0571722      0              
10             11             17.7266        0.124057       0              
10             15             23.1261        0.137227       0              
10             16             11.0466        0.20082        0              
10             17             8.1            0.16308        0              
11             4              5.3            0.0722302      0              
11             10             17.6042        0.122033       0              
11             12             8.3652         0.135899       0              
11             14             9.77621        0.136916       0              
12             3              9.97338        0.0401979      0              
12             11             8.40485        0.137348       0              
12             13             12.4872        0.0302431      0              
13             12             12.5782        0.0302503      0              
13             24             11.1218        0.17663        0              
14             11             9.81416        0.13843        0              
14             15             9.03635        0.122344       0              
14             23             8.40022        0.0907883      0              
15             10             23.1925        0.138119       0              
15             14             9.07984        0.123746       0              
15             19             19.083         0.0432614      0              
15             22             18.4095        0.0908763      0              
16             8              8.40584        0.107764       0              
16             10             11.0725        0.202335       0              
16             17             11.6939        0.0949873      0              
16             18             15.2819        0.0316362      0              
17             10             8.1            0.16308        0              
17             16             11.6828        0.0947014      0              
17             19             9.95317        0.0743695      0              
18             7              15.6591        0.0206013      0              
18             16             15.337         0.0316599      0              
18             20             18.9798        0.0425954      0              
19             15             19.1165        0.0433546      0              
19             17             9.942          0.0741259      0              
19             20             8.68729        0.0945634      0              
20             18             18.9955        0.042604       0              
20             19             8.70956        0.0951252      0              
20             21             6.30303        0.0816705      0              
20             22             7              0.0771312      0              
21             20             6.24101        0.08083        0              
21             22             8.61879        0.0421274      0              
21             24             10.3097        0.11925        0              
22             15             18.3861        0.0905665      0              
22             20             7              0.0771312      0              
22             21             8.60665        0.042003       0              
22             23             9.66184        0.123658       0              
23             14             8.39468        0.0906545      0              
23             22             9.62622        0.122432       0              
23             24             7.90312        0.0375942      0              
24             13             11.1128        0.17619        0              
24             21             10.2598        0.117535       0              
24             23             7.86197        0.0372306      0              
