---------This is the output of algorithm DBA--------



---------------------------------------------------------------------------------------------------
FromNode       ToNode         Flow           Time           Cost           
1              2              4.49465        0.0600082      0              
1              3              8.11907        0.0400869      0              
2              1              4.51907        0.0600083      0              
2              6              5.96733        0.065736       0              
3              1              8.09465        0.0400859      0              
3              4              14.0064        0.042694       0              
3              12             10.0223        0.0402018      0              
4              3              14.0306        0.0427127      0              
4              5              18.0064        0.0231537      0              
4              11             5.2            0.071333       0              
5              4              18.0306        0.0231707      0              
5              6              8.79828        0.0999823      0              
5              9              15.7808        0.096513       0              
6              2              5.99176        0.0659952      0              
6              5              8.80651        0.100207       0              
6              8              12.4929        0.146909       0              
7              8              12.1015        0.0555216      0              
7              18             15.794         0.0206223      0              
8              6              12.5256        0.148241       0              
8              7              12.0409        0.0550141      0              
8              9              6.88266        0.151747       0              
8              16             8.38871        0.107295       0              
9              5              15.7967        0.0967014      0              
9              8              6.8367         0.150379       0              
9              10             21.7441        0.0568253      0              
10             9              21.8141        0.0571724      0              
10             11             17.7266        0.124057       0              
10             15             23.1258        0.137224       0              
10             16             11.0471        0.200848       0              
10             17             8.1            0.16308        0              
11             4              5.3            0.0722302      0              
11             10             17.6042        0.122033       0              
11             12             8.36529        0.135902       0              
11             14             9.77612        0.136913       0              
12             3              9.9737         0.0401979      0              
12             11             8.40494        0.137351       0              
12             13             12.2876        0.030228       0              
13             12             12.3786        0.0302348      0              
13             24             11.1214        0.17661        0              
14             11             9.81407        0.138426       0              
14             15             9.03634        0.122343       0              
14             23             8.40044        0.0907935      0              
15             10             23.1923        0.138116       0              
15             14             9.07983        0.123746       0              
15             19             19.0833        0.0432621      0              
15             22             18.4099        0.0908815      0              
16             8              8.40671        0.107788       0              
16             10             11.073         0.202363       0              
16             17             11.695         0.0950146      0              
16             18             15.2783        0.0316346      0              
17             10             8.1            0.16308        0              
17             16             11.6838        0.0947285      0              
17             19             9.95302        0.0743663      0              
18             7              15.8546        0.0206319      0              
18             16             15.3334        0.0316583      0              
18             20             18.9768        0.0425937      0              
19             15             19.1167        0.0433553      0              
19             17             9.94186        0.0741227      0              
19             20             8.68837        0.0945906      0              
20             18             18.9925        0.0426023      0              
20             19             8.71064        0.0951525      0              
20             21             6.30202        0.0816567      0              
20             22             7              0.0771312      0              
21             20             6.23999        0.0808164      0              
21             22             8.61954        0.0421351      0              
21             24             10.3094        0.119241       0              
22             15             18.3865        0.0905717      0              
22             20             7              0.0771312      0              
22             21             8.60739        0.0420105      0              
22             23             9.66182        0.123658       0              
23             14             8.3949         0.0906597      0              
23             22             9.62621        0.122431       0              
23             24             7.90299        0.037593       0              
24             13             11.1124        0.17617        0              
24             21             10.2595        0.117526       0              
24             23             7.86183        0.0372295      0              
