---------This is the output of algorithm DBA--------



---------------------------------------------------------------------------------------------------
FromNode       ToNode         Flow           Time           Cost           
1              10             1522.5         2.0019         0              
1              394            387.9          1              0              
2              11             1149.3         2.00062        0              
2              395            1196.2         1.00036        0              
3              12             375.1          2.00001        0              
3              395            247.4          1              0              
4              13             1294.8         2.00099        0              
4              396            1111.9         1.00027        0              
5              15             1347           2.00116        0              
5              396            947.996        1.00014        0              
6              7              722.1          2.0001         0              
6              409            37             1              0              
7              21             1377.96        2.00127        0              
7              8              368.316        0.220076       0              
7              6              37             2              0              
8              9              2087.82        0.501676       0              
8              7              1044.16        0.220122       0              
8              250            1036.51        0.508247       0              
9              10             3214.82        1.10027        0              
9              8              2037.86        0.501521       0              
9              206            2034.38        0.622377       0              
10             27             572.442        2.57997        0              
10             1              387.9          2.00001        0              
10             364            0              1.05985        0              
10             9              3438.79        1.10656        0              
10             379            6042.5         0.150251       0              
11             28             1464.57        2.00162        0              
11             2              1196.2         2.00072        0              
11             12             3878.91        2.07987        0              
11             364            0              1.07992        0              
11             379            3901.02        0.149274       0              
12             29             75.1           2              0              
12             3              247.4          2              0              
12             13             4178.91        2.1076         0              
12             11             1829.82        2.00396        0              
13             30             243.803        2              0              
13             4              1111.9         2.00054        0              
13             14             3332.81        1.02176        0              
13             12             1969.22        2.00531        0              
14             31             0              2              0              
14             15             3332.81        1.02176        0              
14             13             918.226        1.00013        0              
15             32             352.201        2.00001        0              
15             5              947.996        2.00028        0              
15             365            0              1              0              
15             14             918.224        1.00013        0              
15             380            6150.34        0.150338       0              
16             33             0              2              0              
16             17             6222.27        0.177212       0              
16             365            0              1              0              
16             380            1806.58        0.149078       0              
17             18             7125.7         0.727403       0              
17             16             1672.48        0.140345       0              
17             298            1541.5         0.540341       0              
18             19             6087.1         0.720377       0              
18             17             868.904        0.50005        0              
18             254            1471.9         0.533534       0              
19             20             6087.1         2.48438        0              
19             18             503.6          0.579931       0              
20             19             503.6          2.00002        0              
20             397            6087.1         1.24219        0              
21             23             318.015        0.579925       0              
21             7              17.0119        2              0              
21             202            2822.76        0.953592       0              
22             23             817.198        2.00016        0              
22             408            497.15         1.00001        0              
23             366            0              1              0              
23             21             1779.82        0.580951       0              
23             24             3116.48        0.142484       0              
23             22             497.15         2.00002        0              
23             381            3450.73        0.149194       0              
24             25             1376.38        0.420342       0              
24             23             3587.82        0.144248       0              
24             247            2386.49        0.731743       0              
25             26             1376.38        0.420342       0              
25             24             4234.2         0.443895       0              
25             210            0              0.5            0              
26             27             2434.99        0.724541       0              
26             25             1338.82        0.420314       0              
26             168            66.1016        0.5            0              
27             42             0              2              0              
27             10             2297.08        2.5926         0              
27             28             137.908        2              0              
27             26             572.535        0.720089       0              
28             367            0              1              0              
28             11             1723.19        2.00311        0              
28             29             641.391        2.00006        0              
28             27             0.0930605      2              0              
28             382            1551.78        0.149073       0              
29             45             0              2              0              
29             12             107.996        2              0              
29             30             716.491        2.00009        0              
29             28             608.761        2.00005        0              
30             46             177.2          2              0              
30             13             265.799        2              0              
30             31             594.696        1.00002        0              
30             29             716.757        2.00009        0              
31             47             0              2              0              
31             14             0.00162236     2              0              
31             32             594.696        1.00002        0              
31             30             650.154        1.00003        0              
32             368            0              1              0              
32             15             1845.48        2.00409        0              
32             33             185.001        2              0              
32             31             650.155        1.00003        0              
32             383            669.603        0.149069       0              
33             50             0              2.27992        0              
33             16             134.128        2              0              
33             34             185.001        0.420076       0              
33             32             43.1111        2              0              
34             35             185.001        0.579924       0              
34             33             177.239        0.420076       0              
35             36             185.001        0.5            0              
35             34             177.239        0.579924       0              
35             295            137.311        0.500003       0              
36             37             438.701        2.00001        0              
36             35             314.514        0.500001       0              
36             257            0              0.5            0              
37             36             314.514        2              0              
37             398            438.701        1.00001        0              
38             39             1420.3         2.00144        0              
38             408            335.65         1              0              
39             56             5009.09        2.22212        0              
39             366            0              1              0              
39             40             0.00258919     0.5            0              
39             38             335.65         2              0              
39             381            4304.02        0.149373       0              
40             41             228.229        0.5            0              
40             39             185.333        0.5            0              
40             243            0.01597        0.5            0              
41             42             228.228        0.720076       0              
41             40             185.333        0.5            0              
41             213            513.233        0.500496       0              
42             54             0.184186       0.279924       0              
42             27             0              2              0              
42             43             228.457        0.579925       0              
42             41             698.548        0.720106       0              
42             198            327.698        0.500082       0              
43             44             462.848        1.42009        0              
43             42             1026.42        0.580038       0              
43             170            0              0.5            0              
44             60             1943.57        2.00503        0              
44             367            0              1              0              
44             45             162.082        2              0              
44             43             1026.42        1.42035        0              
44             382            1895.5         0.14908        0              
45             61             0              2              0              
45             29             0              2              0              
45             46             162.082        2              0              
45             44             389.228        2.00001        0              
46             62             835.813        2.00017        0              
46             30             144.004        2              0              
46             47             509.38         1.00001        0              
46             45             389.228        2.00001        0              
47             63             1022.32        2.00039        0              
47             31             0              2              0              
47             48             1059.53        1.00022        0              
47             46             1047.84        1.00021        0              
48             64             1791.36        2.00363        0              
48             368            0              1              0              
48             49             214.899        1.42008        0              
48             47             2070.16        1.00324        0              
48             383            1983.36        0.149082       0              
49             50             214.899        0.720076       0              
49             48             133.186        1.42008        0              
50             66             0              2              0              
50             33             0              2.27992        0              
50             51             214.899        0.859849       0              
50             49             133.186        0.720076       0              
51             52             1008.8         0.500091       0              
51             50             133.185        0.859849       0              
51             293            0              0.5            0              
52             53             863.499        2.0002         0              
52             51             61.7864        0.5            0              
52             259            807            0.50303        0              
53             52             723.486        2.0001         0              
53             398            863.499        1.0001         0              
54             59             0.184186       1.72008        0              
