---------This is the output of algorithm DBA--------



---------------------------------------------------------------------------------------------------
FromNode       ToNode         Flow           Time           Cost           
1              547            4989.13        4.69687        0              
2              548            6719.41        2.04673        0              
3              549            10095.5        15.4391        0              
4              550            9444.62        42.6614        0              
5              551            17223.8        4.68503        0              
6              552            6446.03        5.77726        0              
7              553            9884.28        1.0758         0              
8              554            9252.3         0.323795       0              
9              555            6699.45        0.674305       0              
10             556            13823.7        54.1487        0              
11             557            10551.1        0.694143       0              
12             558            6985.78        0.120228       0              
13             559            9401.48        0.861101       0              
14             560            14763.7        296.976        0              
15             561            8934.72        5.42345        0              
16             562            10301          3.71794        0              
17             563            9098.55        25.7242        0              
18             564            9300.74        0.330382       0              
19             565            2624.61        0.0131358      0              
20             566            7707.95        0.161502       0              
21             567            4696.17        0.85618        0              
22             568            3370.82        0.034419       0              
23             569            12667.8        107.327        0              
24             570            6010.92        0.244109       0              
25             571            5993.21        0.0564859      0              
26             572            12936.8        2.32624        0              
27             573            7749.49        4.4942         0              
28             574            8700.36        0.497613       0              
29             575            14581.2        193.76         0              
30             576            5416.97        0.148259       0              
31             577            7838.86        0.266409       0              
32             578            7900.65        0.293405       0              
33             579            4727.45        0.526635       0              
34             580            6460.14        1.75351        0              
35             581            5145.61        3.03306        0              
36             582            6100.87        0.157996       0              
37             583            1148.81        0.0225345      0              
38             584            2228.48        0.0174279      0              
39             585            6737.86        1.77337        0              
40             586            1866.66        0.0174437      0              
41             587            8069.74        0.48012        0              
42             588            2120.7         0.0239482      0              
43             589            5257.64        0.196712       0              
44             590            7128.54        3.22966        0              
45             591            6238.19        0.0951101      0              
46             592            6568.32        0.174587       0              
47             593            2892.16        0.128045       0              
48             594            4978.07        0.639859       0              
49             595            3495.58        0.0602653      0              
50             596            4758           0.0742004      0              
51             597            1577.3         0.0788929      0              
52             598            2041.28        0.711164       0              
53             599            4665.33        0.0208586      0              
54             600            1259.87        0.0153521      0              
55             601            1778.42        0.0216065      0              
56             602            4297.13        0.370092       0              
57             603            1646.85        0.0260988      0              
58             604            5962.5         2.11762        0              
59             605            5225.8         3.76224        0              
60             606            5148.46        2.36423        0              
61             607            5264.46        0.0692114      0              
62             608            5472.5         6.77674        0              
63             609            3718.92        0.185209       0              
64             610            9104.31        0.912757       0              
65             611            3468.09        0.0211316      0              
66             612            6193.35        1.11486        0              
67             613            3858.59        0.856277       0              
68             614            6526.75        2.73834        0              
69             615            6270.57        0.668705       0              
70             616            4480.42        0.0727832      0              
71             617            3979.92        0.0560985      0              
72             618            7296.66        2.42826        0              
73             619            7675.9         0.0825412      0              
74             620            2642.72        0.0698631      0              
75             621            2685.23        0.0635117      0              
76             622            5958.85        0.0666967      0              
77             623            7998.54        0.557239       0              
78             624            6831.44        0.374534       0              
79             625            3838.33        0.247708       0              
80             626            10315.8        9.34812        0              
81             627            8352.05        0.437454       0              
82             628            5765.21        0.0873701      0              
83             629            4294.91        0.0543373      0              
84             630            6438.08        1.73013        0              
85             631            13283.5        1.33953        0              
86             632            5293.37        3.95887        0              
87             633            5977.54        1.60421        0              
88             634            4579.16        0.311728       0              
89             635            2370.39        0.0400439      0              
90             636            2212.55        0.0610738      0              
91             637            7079.22        0.161458       0              
92             638            1746.5         0.018224       0              
93             639            4363.86        0.039876       0              
94             640            471.02         0.0166698      0              
95             641            2752.81        0.0122927      0              
96             642            587.41         0.0215042      0              
97             643            6304.83        2.6566         0              
98             644            8436.92        0.568239       0              
99             645            4527.16        0.0933215      0              
100            646            3592.63        1.44381        0              
101            647            3144.71        0.0229256      0              
102            648            3681.72        0.138089       0              
103            649            1743.13        0.0369805      0              
104            650            3100.18        0.124566       0              
105            651            983.63         0.0401438      0              
106            652            3859.91        0.0627142      0              
107            653            3630.97        0.0416864      0              
108            654            3769.1         0.0633916      0              
109            655            3028.1         0.057785       0              
110            656            5660.6         2.58345        0              
111            657            5463.48        0.106          0              
112            658            3659.23        0.210411       0              
113            659            3784.73        0.0884934      0              
114            660            2147.45        0.034931       0              
115            661            4043.61        0.0249182      0              
116            662            2374.71        0.0249359      0              
117            663            824.08         0.027827       0              
118            664            4286.07        0.0361099      0              
119            665            1278.87        0.0334984      0              
120            666            1507.37        0.0492892      0              
121            667            3785.82        0.118108       0              
122            668            1943.73        0.021995       0              
123            669            4281.93        0.0818175      0              
124            670            1800.85        0.0297253      0              
125            671            2224.15        0.0149331      0              
126            672            507.29         0.0166709      0              
127            673            2137.82        0.0480092      0              
128            674            864.15         0.016942       0              
129            675            3848.75        0.0625114      0              
130            676            2993.41        0.0164098      0              
131            677            5005.8         0.0360465      0              
132            678            3968.5         0.0324292      0              
133            679            5192.12        0.094767       0              
134            680            3356.65        0.0176441      0              
135            681            5479.75        0.0991639      0              
136            682            6391.22        7.17943        0              
137            683            2348.41        0.0422489      0              
138            684            1466.59        0.0508883      0              
139            685            1631.54        0.0428004      0              
140            686            1097.23        0.0251391      0              
141            687            5293.44        1.31969        0              
142            688            5106.13        0.10831        0              
143            689            4074.25        0.0251711      0              
144            690            3079.56        0.101803       0              
145            691            7191.34        0.161          0              
146            692            6930.25        9.91453        0              
147            693            6262.2         1.03478        0              
148            694            6643.95        0.242352       0              
149            695            4165.68        0.0431262      0              
150            696            1467.5         0.346592       0              
151            697            1718.33        0.022146       0              
152            698            2461.4         0.0298223      0              
153            699            4432.8         0.0827556      0              
154            700            5126.12        0.0811437      0              
155            701            4469.1         0.0843944      0              
156            702            4347.7         0.0658902      0              
157            703            5850.4         0.219942       0              
158            704            6246.55        104.429        0              
159            705            4582.57        0.059854       0              
160            706            5079.87        1.68142        0              
161            707            1761.8         0.0115222      0              
162            708            642.7          0.0430738      0              
163            709            417.93         0.0111124      0              
164            710            2482.86        0.0254651      0              
165            711            461.78         0.0417228      0              
166            712            2412.98        0.0313939      0              
167            713            1155.62        0.0350948      0              
168            714            264.04         0.0111192      0              
169            715            559.09         0.0300869      0              
170            716            5259.08        0.0562493      0              
171            717            1094.69        0.0202568      0              
172            718            3031.33        0.0875459      0              
173            719            605.11         0.0714653      0              
174            720            331.34         0.0357159      0              
175            721            1238.69        0.0418483      0              
176            722            808.62         0.0591184      0              
177            723            420.73         0.0214485      0              
178            724            2566.03        0.0135036      0              
179            725            1755.87        0.0363429      0              
180            726            298.39         0.0428584      0              
181            727            646.97         0.0223376      0              
182            728            2277.01        0.102657       0              
183            729            1200.82        0.0501925      0              
184            730            1465.93        0.0473679      0              
185            731            949.58         0.0429217      0              
186            732            465.52         0.0335681      0              
187            733            939.16         0.0334329      0              
188            734            3028.51        0.0441011      0              
189            735            3603.24        0.0999097      0              
190            736            4935.73        0.0349839      0              
191            737            3814.16        0.207737       0              
192            738            1246.07        0.0428573      0              
193            739            153.9          0.0416674      0              
194            740            1290.23        0.0240469      0              
195            741            898.9          0.0429646      0              
196            742            726.61         0.0695411      0              
197            743            736.44         0.0168119      0              
198            744            2458.04        0.0228772      0              
199            745            2992.59        0.0319034      0              
200            746            2581.7         0.0772094      0              
201            747            1119.27        0.0111781      0              
202            748            1663.53        0.0204485      0              
203            749            1544.79        0.105955       0              
204            750            1974.16        0.0171355      0              
205            751            2040.23        0.0152362      0              
206            752            708.4          0.0111163      0              
207            753            2007.85        0.0177068      0              
208            754            1498.44        0.0383126      0              
209            755            4461.61        0.0520137      0              
210            756            6121.12        0.608512       0              
211            757            2102.28        0.0296049      0              
212            758            502.12         0.0288439      0              
213            759            126.52         0.0222222      0              
214            760            1431.55        0.0503889      0              
215            761            206.38         0.0277779      0              
216            762            1295.57        0.0361159      0              
217            763            1746.9         0.014177       0              
218            764            1363.28        0.0301919      0              
219            765            4045.68        0.223441       0              
220            766            4393.47        0.121537       0              
221            767            2514.07        0.0164772      0              
222            768            2874.95        0.0864049      0              
223            769            857.32         0.0222445      0              
224            770            1427.07        0.0249531      0              
225            771            1073.85        0.0143587      0              
226            772            2127.05        0.0296545      0              
227            773            1039.26        0.0258641      0              
228            774            2222.68        0.0776832      0              
229            775            2353           0.0558856      0              
230            776            3012.15        0.533921       0              
231            777            3206.53        0.084357       0              
232            778            3918.54        0.0529271      0              
233            779            4034.17        0.196616       0              
234            780            946.65         0.0334361      0              
235            781            242.1          0.0285718      0              
236            782            372.76         0.0285725      0              
237            783            818.47         0.0177886      0              
238            784            302.22         0.0428585      0              
239            785            536.33         0.0168735      0              
240            786            339.32         0.0222664      0              
241            787            1210.35        0.0295441      0              
242            788            365.56         0.0277787      0              
243            789            617.43         0.0222346      0              
244            790            1914.59        0.0116844      0              
245            791            907.96         0.0166876      0              
246            792            1198.45        0.0201584      0              
247            793            1054.25        0.0115178      0              
248            794            377.99         0.016668       0              
249            795            2428.98        0.0629815      0              
250            796            614.46         0.0278951      0              
251            797            284.22         0.027805       0              
252            798            661.43         0.102871       0              
253            799            1412.14        0.225939       0              
254            800            931.13         0.0214904      0              
255            801            303.36         0.0364402      0              
256            802            488.35         0.0429294      0              
257            803            1509.3         0.022665       0              
258            804            1721.65        0.0459439      0              
259            805            3051.78        0.0444359      0              
260            806            1552.8         0.0244221      0              
261            807            1279.65        0.0432984      0              
262            808            1412.71        0.0319433      0              
263            809            952.35         0.0222924      0              
264            810            343.12         0.0601247      0              
265            811            127.68         0.0166668      0              
266            812            136.32         0.03           0              
267            813            3204.09        0.0341479      0              
268            814            1973.38        0.0483111      0              
269            815            1385.02        0.0279671      0              
270            816            1044.27        0.0223237      0              
271            817            470.37         0.0500094      0              
272            818            579.33         0.0358335      0              
273            819            1450.96        0.035675       0              
274            820            198.1          0.0250001      0              
275            821            1335.31        0.0307686      0              
276            822            547.15         0.0285762      0              
277            823            1442.35        0.0112958      0              
278            824            1129.8         0.0266657      0              
279            825            1357.68        0.610304       0              
280            826            677.39         0.0167706      0              
281            827            358.8          0.0111115      0              
282            828            200.75         0.0142864      0              
283            829            2015.68        0.0434519      0              
284            830            463.53         0.0335642      0              
285            831            666.98         0.0171614      0              
286            832            302.77         0.0142893      0              
287            833            3515.18        0.184131       0              
288            834            5301.06        0.082079       0              
289            835            1088.32        0.02228        0              
290            836            854.68         0.0507905      0              
291            837            816.03         0.0860096      0              
292            838            725.78         0.0347207      0              
293            839            623.8          0.011161       0              
294            840            686.65         0.0250213      0              
295            841            841.94         0.0166988      0              
296            842            1250.26        0.0360494      0              
297            843            914.27         0.0111255      0              
298            844            503.65         0.0285748      0              
299            845            916.1          0.0442259      0              
300            846            408.64         0.0285745      0              
301            847            517.52         0.0142896      0              
302            848            245.97         0.0168131      0              
303            849            1596.83        0.0216866      0              
304            850            655.43         0.0111719      0              
305            851            1378.39        0.0434512      0              
306            852            212.46         0.0333335      0              
307            853            339.77         0.0500197      0              
308            854            334.28         0.0277791      0              
309            855            934.64         0.0247659      0              
310            856            101.96         0.0285719      0              
311            857            105.75         0.0333335      0              
312            858            517.31         0.0222694      0              
313            859            223.82         0.0111112      0              
314            860            498.87         0.0429358      0              
315            861            85.96          0.0142857      0              
316            862            747.15         0.0285879      0              
317            863            181.85         0.0357154      0              
318            864            1006.29        0.0429326      0              
319            865            993.22         0.0254661      0              
320            866            2892.83        0.0341667      0              
321            867            391.81         0.0214305      0              
322            868            563.96         0.0111444      0              
323            869            150.39         0.0142857      0              
324            870            202.41         0.0215149      0              
325            871            104.28         0.0714288      0              
326            872            123.6          0.0357145      0              
327            873            61.68          0.0208333      0              
328            874            565.55         0.0714566      0              
329            875            664.71         0.0251446      0              
330            876            240.89         0.0125002      0              
331            877            1431.9         0.0362908      0              
332            878            893.26         0.050059       0              
333            879            81.21          0.0222223      0              
334            880            176.12         0.0444457      0              
335            881            572.12         0.0250794      0              
336            882            57.25          0.0416667      0              
337            883            72.06          0.0333355      0              
338            884            332.98         0.0222227      0              
339            885            108.84         0.0222222      0              
340            886            595.99         0.0428672      0              
341            887            90.26          0.0166667      0              
342            888            283.7          0.0214327      0              
343            889            134.72         0.0285717      0              
344            890            143.51         0.0222236      0              
345            891            559.09         0.0422773      0              
346            892            2350.05        0.0319178      0              
347            893            336.22         0.033335       0              
348            894            373.53         0.0357156      0              
349            895            147.2          0.0250003      0              
350            896            220.11         0.0214288      0              
351            897            1808.79        0.0289196      0              
352            898            635.16         0.0397317      0              
353            899            308.99         0.0111141      0              
354            900            244.47         0.0125067      0              
355            901            214.17         0.0444472      0              
356            902            13757.5        1432.92        0              
357            903            11567.1        5.90477        0              
358            904            4112.35        0.157899       0              
359            905            5339.23        0.417985       0              
360            906            4187.49        0.0448401      0              
361            907            951.47         0.0250379      0              
362            908            2617.38        0.0265619      0              
363            909            557.52         0.027375       0              
364            910            512.17         0.0222251      0              
365            911            878.67         0.031126       0              
366            912            187.5          0.0333395      0              
367            913            2492.67        0.188638       0              
368            914            1177.93        0.0251848      0              
369            915            309.67         0.0142862      0              
370            916            606.67         0.0215146      0              
371            917            586.49         0.0214383      0              
372            918            637.18         0.0365973      0              
373            919            1254.53        0.0178899      0              
374            920            1520.75        0.0400505      0              
375            921            921.25         0.0334255      0              
376            922            5561.29        4.12802        0              
377            923            1661           0.0114359      0              
378            924            189            0.0333346      0              
379            925            1280           0.0126288      0              
380            926            484            0.0143089      0              
381            927            1903           0.043898       0              
382            928            1555           0.0227212      0              
383            929            724            0.0336047      0              
384            930            0              0.0277778      0              
385            931            157            0.0285719      0              
386            932            22             0.0222222      0              
387            933            5837           1.01126        0              
388            390            1464.19        0.0290757      0              
388            391            1200.62        0.0145742      0              
388            708            1357.05        0.0366829      0              
388            802            1645.61        0.0233335      0              
389            390            153.559        0.0222226      0              
389            801            0.879091       0.0208333      0              
389            914            196.004        0.0357145      0              
390            388            1396.01        0.0223785      0              
390            389            88.7391        0.0142858      0              
390            925            1413           0.0215868      0              
391            388            1640.83        0.0231921      0              
391            392            1175.38        0.0183756      0              
391            709            275.496        0.0166695      0              
391            715            0.128722       0.0714286      0              
392            391            1.53458        0.0277778      0              
392            393            233.355        0.0500222      0              
392            713            0.0138604      0.0833333      0              
392            717            1321.07        0.0327074      0              
393            392            1.48732        0.025          0              
393            394            3031.48        0.0472966      0              
393            712            1989.96        0.0488208      0              
393            716            3100.82        0.0225835      0              
394            393            1444.9         0.0501841      0              
394            395            2919.43        0.0486224      0              
394            584            1781.08        0.104561       0              
394            601            77.719         0.06           0              
395            394            1.23769        0.0285714      0              
395            396            3373.63        0.138231       0              
395            584            637.12         0.0598052      0              
395            600            1865.31        0.046932       0              
396            395            1.35214        0.0125         0              
396            397            3373.63        0.138231       0              
397            396            1.35214        0.0333333      0              
397            398            4977.31        0.0890226      0              
397            588            1964.58        0.03524        0              
397            604            1802.24        0.043753       0              
398            397            1088.28        0.0358071      0              
398            399            6840.32        0.156782       0              
398            400            1293.19        0.16526        0              
398            403            2404.43        0.0552867      0              
399            398            128.323        0.0285717      0              
399            537            9309.9         0.248532       0              
399            604            4415.15        0.0409865      0              
