    Origin         1
     1 :       0.000000000000;      2 :     100.000000000000;      3 :     100.000000000000;      4 :     500.000000000000;      5 :     200.000000000000; 
     6 :     300.000000000000;      7 :     500.000000000000;      8 :     800.000000000000;      9 :     500.000000000000;     10 :    1300.000000000000; 
    11 :     500.000000000000;     12 :     200.000000000000;     13 :     500.000000000000;     14 :     300.000000000000;     15 :     500.000000000000; 
    16 :     500.000000000000;     17 :     400.000000000000;     18 :     100.000000000000;     19 :     300.000000000000;     20 :     300.000000000000; 
    21 :     100.000000000000;     22 :     400.000000000000;     23 :     300.000000000000;     24 :     100.000000000000; 
    Origin         2
     1 :     100.000000000000;      2 :       0.000000000000;      3 :     100.000000000000;      4 :     200.000000000000;      5 :     100.000000000000; 
     6 :     400.000000000000;      7 :     200.000000000000;      8 :     400.000000000000;      9 :     200.000000000000;     10 :     600.000000000000; 
    11 :     200.000000000000;     12 :     100.000000000000;     13 :     300.000000000000;     14 :     100.000000000000;     15 :     100.000000000000; 
    16 :     400.000000000000;     17 :     200.000000000000;     18 :       0.000000000000;     19 :     100.000000000000;     20 :     100.000000000000; 
    21 :       0.000000000000;     22 :     100.000000000000;     23 :       0.000000000000;     24 :       0.000000000000; 
    Origin         3
     1 :     100.000000000000;      2 :     100.000000000000;      3 :       0.000000000000;      4 :     200.000000000000;      5 :     100.000000000000; 
     6 :     300.000000000000;      7 :     100.000000000000;      8 :     200.000000000000;      9 :     100.000000000000;     10 :     300.000000000000; 
    11 :     300.000000000000;     12 :     200.000000000000;     13 :     100.000000000000;     14 :     100.000000000000;     15 :     100.000000000000; 
    16 :     200.000000000000;     17 :     100.000000000000;     18 :       0.000000000000;     19 :       0.000000000000;     20 :       0.000000000000; 
    21 :       0.000000000000;     22 :     100.000000000000;     23 :     100.000000000000;     24 :       0.000000000000; 
    Origin         4
     1 :     500.000000000000;      2 :     200.000000000000;      3 :     200.000000000000;      4 :       0.000000000000;      5 :     500.000000000000; 
     6 :     400.000000000000;      7 :     400.000000000000;      8 :     700.000000000000;      9 :     700.000000000000;     10 :    1200.000000000000; 
    11 :    1400.000000000000;     12 :     600.000000000000;     13 :     600.000000000000;     14 :     500.000000000000;     15 :     500.000000000000; 
    16 :     800.000000000000;     17 :     500.000000000000;     18 :     100.000000000000;     19 :     200.000000000000;     20 :     300.000000000000; 
    21 :     200.000000000000;     22 :     400.000000000000;     23 :     500.000000000000;     24 :     200.000000000000; 
    Origin         5
     1 :     200.000000000000;      2 :     100.000000000000;      3 :     100.000000000000;      4 :     500.000000000000;      5 :       0.000000000000; 
     6 :     200.000000000000;      7 :     200.000000000000;      8 :     500.000000000000;      9 :     800.000000000000;     10 :    1000.000000000000; 
    11 :     500.000000000000;     12 :     200.000000000000;     13 :     200.000000000000;     14 :     100.000000000000;     15 :     200.000000000000; 
    16 :     500.000000000000;     17 :     200.000000000000;     18 :       0.000000000000;     19 :     100.000000000000;     20 :     100.000000000000; 
