---------This is the output of algorithm T2--------



---------------------------------------------------------------------------------------------------
FromNode       ToNode         Flow           Time           Cost           
1              2              6.92152        3.60275        0.011139       
1              3              10.5889        2.41509        0.053987       
2              1              6.94462        3.60279        0.011237       
2              6              6.11973        4.04437        3.91396        
3              1              10.5658        2.41495        0.053668       
3              4              17.1463        2.76302        1.09602        
3              12             13.4445        2.43921        0.135974       
4              3              17.1381        2.76232        1.08884        
4              5              19.339         1.45178        0.651218       
4              11             6.01914        4.82073        4.17154        
5              4              19.3315        1.45138        0.662849       
5              6              7.26301        4.07129        4.43277        
5              9              17.0183        6.77465        10.5555        
6              2              6.14283        4.06023        3.95385        
6              5              7.28268        4.08946        4.47904        
6              8              12.5405        8.93118        22.2681        
7              8              13.2754        4.01764        6.31016        
7              18             16.5589        1.24511        0.121628       
8              6              12.5833        9.03718        22.5221        
8              7              13.2198        3.98073        6.23311        
8              9              7.56718        10.5368        12.7527        
8              16             7.95817        5.78444        7.94399        
9              5              16.9911        6.75058        10.7323        
9              8              7.53751        10.466         12.6085        
9              10             21.9002        3.45625        4.62708        
10             9              21.9434        3.46934        4.74822        
10             11             17.3666        7.09328        11.9709        
10             15             23.5177        8.55561        13.4794        
10             16             10.6849        10.8462        24.4826        
10             17             8.25731        10.1835        16.1443        
11             4              6.11837        4.90324        4.12016        
11             10             17.2332        6.96894        11.7529        
11             12             7.66973        6.81812        8.09788        
11             14             9.45528        7.4882         14.8195        
12             3              13.4297        2.43903        0.136446       
12             11             7.69014        6.85251        8.08241        
12             13             15.0837        1.83106        0.097737       
13             12             15.1893        1.83194        0.100499       
13             24             10.5068        8.92945        19.2387        
14             11             9.5007         7.58667        14.9592        
14             15             9.00958        7.28941        11.483         
14             23             7.70239        4.55404        5.90281        
15             10             23.5601        8.59142        13.6662        
15             14             9.00152        7.27409        11.7958        
15             19             18.6583        2.52718        1.99428        
15             22             16.5397        4.17977        6.28445        
16             8              7.97503        5.80811        8.01676        
16             10             10.7151        10.942         24.7146        
16             17             10.7104        4.36605        8.51737        
16             18             18.0663        1.99176        0.591804       
17             10             8.26131        10.1939        16.2213        
17             16             10.6971        4.35037        8.477          
17             19             8.69509        3.10002        4.41937        
18             7              16.6145        1.24572        0.122846       
18             16             18.1266        1.99433        0.599022       
18             20             20.6706        2.61908        0.651291       
19             15             18.689         2.53198        2.00103        
19             17             8.68581        3.09192        4.41393        
19             20             8.61612        5.56783        8.99304        
20             18             20.6865        2.61975        0.650877       
20             19             8.63751        5.59941        9.04863        
20             21             6.24548        4.85339        3.67725        
20             22             6.94036        4.5731         4.77035        
21             20             6.18458        4.80522        3.57304        
21             22             8.07421        2.22258        2.96841        
21             24             9.76722        6.11381        12.606         
22             15             16.4433        4.12479        6.3073         
22             20             6.93856        4.57147        4.64905        
22             21             8.06666        2.21876        2.98435        
22             23             9.39031        6.8786         12.1777        
23             14             7.75587        4.61449        5.77665        
23             22             9.2846         6.6803         12.0872        
23             24             7.70021        2.15134        2.69113        
24             13             10.5124        8.94336        19.296         
24             21             9.71387        6.02033        12.3223        
24             23             7.64796        2.12579        2.61799        
