    Origin        13
Class 1's a bounds are:85.6546------>100
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2       100       100         0
         3       100       100         0
         4       100       100         0
         5       100       100         0
         6       100       100         0
         7       100       100         0
         8       100       100         0
         9       100       100         0
        10   85.6546       100  0.506025
        11       100       100         0
        12       100       100         0
        13       100       100         0
        14       100       100         0
        15   85.6546       100   0.18643
        16       100       100         0
        17       100       100         0
        18       100       100         0
        19   85.6546       100 0.0798987
        20       100       100         0
        21       100       100         0
        22       100       100         0
        23       100       100         0
        24       100       100         0
Class 2's a bounds are:74.369------>85.6546
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2    74.369       100  0.134078
         3       100       100         0
         4       100       100         0
         5       100       100         0
         6    74.369       100  0.089385
         7       100       100         0
         8    74.369       100  0.268155
         9       100       100         0
        10   85.6546   85.6546         0
        11       100       100         0
        12       100       100         0
        13       100       100         0
        14       100       100         0
        15   85.6546   85.6546         0
        16       100       100         0
        17       100       100         0
        18       100       100         0
        19   85.6546   85.6546         0
        20       100       100         0
        21       100       100         0
        22       100       100         0
        23       100       100         0
        24       100       100         0
Class 3's a bounds are:62.4207------>74.369
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2    74.369    74.369         0
         3       100       100         0
         4       100       100         0
         5       100       100         0
         6    74.369    74.369         0
         7       100       100         0
         8    74.369    74.369         0
         9       100       100         0
        10   85.6546   85.6546         0
        11       100       100         0
        12       100       100         0
        13       100       100         0
        14       100       100         0
        15   85.6546   85.6546         0
        16       100       100         0
        17       100       100         0
        18       100       100         0
        19   85.6546   85.6546         0
        20       100       100         0
        21       100       100         0
        22   62.4207       100  0.793475
        23   62.4207       100  0.488292
        24       100       100         0
Class 4's a bounds are:54.2433------>62.4207
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2    74.369    74.369         0
         3       100       100         0
         4       100       100         0
         5       100       100         0
         6    74.369    74.369         0
         7       100       100         0
         8    74.369    74.369         0
         9   54.2433       100   0.42346
        10   54.2433   85.6546  0.834931
        11       100       100         0
        12       100       100         0
        13       100       100         0
        14       100       100         0
        15   54.2433   85.6546  0.307606
        16       100       100         0
        17   54.2433       100  0.352883
        18       100       100         0
        19   54.2433   85.6546  0.131831
        20       100       100         0
        21       100       100         0
        22   62.4207   62.4207         0
        23   62.4207   62.4207         0
        24       100       100         0
Class 5's a bounds are:52.818------>54.2433
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2    74.369    74.369         0
         3       100       100         0
         4       100       100         0
         5       100       100         0
         6    74.369    74.369         0
         7    52.818       100   0.28841
         8    52.818    74.369   0.16446
         9   54.2433   54.2433         0
        10   54.2433   54.2433         0
        11       100       100         0
        12       100       100         0
        13       100       100         0
        14       100       100         0
